Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score
33,160,1.0,0.5,1.0,10.0,0.0497967464961483,4.979674649614837,21.5,2150.0,167.4418604651163,1.95,17.5,2.8874999999999997,0.29500000000000004,23.0,0.6124554182137967
34,160,1.0,0.5,1.5,2.5,0.0444435962478124,4.444359624781242,7.0,700.0,514.2857142857143,2.9000000000000004,25.0,2.875,0.39000000000000007,46.0,0.3384441567324602
35,160,1.0,0.5,1.5,5.0,0.0522865838209557,5.2286583820955785,12.0,1200.0,300.0,2.1,25.0,2.875,0.31000000000000005,26.0,0.5472676861442249
36,160,1.0,0.5,1.5,10.0,0.0522865838209557,5.2286583820955785,22.0,2200.0,163.63636363636363,2.1,25.0,2.875,0.31000000000000005,26.0,0.5472676861442249
37,160,1.0,1.0,0.5,2.5,0.0423272345217261,4.232723452172611,6.5,650.0,553.8461538461538,2.75,17.5,2.8874999999999997,0.37500000000000006,43.0,0.40363188880203194
38,160,1.0,1.0,0.5,5.0,0.0497967464961483,4.979674649614837,11.5,1150.0,313.0434782608696,1.95,17.5,2.8874999999999997,0.29500000000000004,23.0,0.6124554182137967
39,160,1.0,1.0,0.5,10.0,0.0497967464961483,4.979674649614837,21.5,2150.0,167.4418604651163,1.95,17.5,2.8874999999999997,0.29500000000000004,23.0,0.6124554182137967
40,160,1.0,1.0,1.0,2.5,0.068,6.800000000000001,7.0,700.0,514.2857142857143,2.6,25.0,2.9,0.36000000000000004,40.0,0.44091264412741815
41,160,1.0,1.0,1.0,5.0,0.08,8.0,12.0,1200.0,300.0,1.8,25.0,2.9,0.28,20.0,0.6497361735391828
42,160,1.0,1.0,1.0,10.0,0.08,8.0,22.0,2200.0,163.63636363636363,1.8,25.0,2.9,0.28,20.0,0.6497361735391828
43,160,1.0,1.0,1.5,2.5,0.0714,7.140000000000001,7.5,750.0,480.0,2.75,32.5,2.8874999999999997,0.37500000000000006,43.0,0.37572491205784586
44,160,1.0,1.0,1.5,5.0,0.084,8.4,12.5,1250.0,288.0,1.95,32.5,2.8874999999999997,0.29500000000000004,23.0,0.5845484414696106
45,160,1.0,1.0,1.5,10.0,0.084,8.4,22.5,2250.0,160.0,1.95,32.5,2.8874999999999997,0.29500000000000004,23.0,0.5845484414696106
46,160,1.0,1.5,0.5,2.5,0.0444435962478124,4.444359624781242,7.0,700.0,514.2857142857143,2.9000000000000004,25.0,2.875,0.39000000000000007,46.0,0.3384441567324602
47,160,1.0,1.5,0.5,5.0,0.0522865838209557,5.2286583820955785,12.0,1200.0,300.0,2.1,25.0,2.875,0.31000000000000005,26.0,0.5472676861442249
48,160,1.0,1.5,0.5,10.0,0.0522865838209557,5.2286583820955785,22.0,2200.0,163.63636363636363,2.1,25.0,2.875,0.31000000000000005,26.0,0.5472676861442249
49,160,1.0,1.5,1.0,2.5,0.0714,7.140000000000001,7.5,750.0,480.0,2.75,32.5,2.8874999999999997,0.37500000000000006,43.0,0.37572491205784586
50,160,1.0,1.5,1.0,5.0,0.084,8.4,12.5,1250.0,288.0,1.95,32.5,2.8874999999999997,0.29500000000000004,23.0,0.5845484414696106
51,160,1.0,1.5,1.0,10.0,0.084,8.4,22.5,2250.0,160.0,1.95,32.5,2.8874999999999997,0.29500000000000004,23.0,0.5845484414696106
52,160,1.0,1.5,1.5,2.5,0.07497,7.497000000000001,8.0,800.0,450.0,2.9000000000000004,40.0,2.875,0.39000000000000007,46.0,0.3105371799882742
53,160,1.0,1.5,1.5,5.0,0.0882,8.820000000000002,13.0,1300.0,276.9230769230769,2.1,40.0,2.875,0.31000000000000005,26.0,0.519360709400039
54,160,1.0,1.5,1.5,10.0,0.0882,8.820000000000002,23.0,2300.0,156.52173913043478,2.1,40.0,2.875,0.31000000000000005,26.0,0.519360709400039
55,160,1.4,0.5,0.5,2.5,0.0228541224490695,2.2854122449069574,6.0,600.0,600.0,3.3999999999999995,29.999999999999993,2.825,0.44,56.0,0.14883720930232558
56,160,1.4,0.5,0.5,5.0,0.0268872028812583,2.688720288125832,11.0,1100.0,327.27272727272725,2.5999999999999996,29.999999999999993,2.825,0.36,36.0,0.3576607387140903
57,160,1.4,0.5,0.5,10.0,0.0268872028812583,2.688720288125832,21.0,2100.0,171.42857142857142,2.5999999999999996,29.999999999999993,2.825,0.36,36.0,0.3576607387140903
58,160,1.4,0.5,1.0,2.5,0.036715848415257,3.671584841525704,6.5,650.0,553.8461538461538,3.25,37.49999999999999,2.8375,0.42500000000000004,53.0,0.18611796462771116
59,160,1.4,0.5,1.0,5.0,0.0431951157826553,4.319511578265535,11.5,1150.0,313.0434782608696,2.4499999999999997,37.49999999999999,2.8375,0.34500000000000003,33.0,0.394941494039476
60,160,1.4,0.5,1.0,10.0,0.0431951157826553,4.319511578265535,21.5,2150.0,167.4418604651163,2.4499999999999997,37.49999999999999,2.8375,0.34500000000000003,33.0,0.394941494039476
61,160,1.4,0.5,1.5,2.5,0.0385516408360199,3.8551640836019914,7.0,700.0,514.2857142857143,3.3999999999999995,44.99999999999999,2.825,0.44,56.0,0.12093023255813953
62,160,1.4,0.5,1.5,5.0,0.0453548715717881,4.535487157178812,12.0,1200.0,300.0,2.5999999999999996,44.99999999999999,2.825,0.36,36.0,0.3297537619699043
63,160,1.4,0.5,1.5,10.0,0.0453548715717881,4.535487157178812,22.0,2200.0,163.63636363636363,2.5999999999999996,44.99999999999999,2.825,0.36,36.0,0.3297537619699043
64,160,1.4,1.0,0.5,2.5,0.036715848415257,3.671584841525704,6.5,650.0,553.8461538461538,3.25,37.49999999999999,2.8375,0.42500000000000004,53.0,0.18611796462771116
65,160,1.4,1.0,0.5,5.0,0.0431951157826553,4.319511578265535,11.5,1150.0,313.0434782608696,2.4499999999999997,37.49999999999999,2.8375,0.34500000000000003,33.0,0.394941494039476
66,160,1.4,1.0,0.5,10.0,0.0431951157826553,4.319511578265535,21.5,2150.0,167.4418604651163,2.4499999999999997,37.49999999999999,2.8375,0.34500000000000003,33.0,0.394941494039476
67,160,1.4,1.0,1.0,2.5,0.0589851361764719,5.898513617647194,7.0,700.0,514.2857142857143,3.0999999999999996,44.99999999999999,2.85,0.41000000000000003,50.0,0.2233987199530974
68,160,1.4,1.0,1.0,5.0,0.0693942778546728,6.939427785467288,12.0,1200.0,300.0,2.3,44.99999999999999,2.85,0.33,30.0,0.43222224936486214
69,160,1.4,1.0,1.0,10.0,0.0693942778546728,6.939427785467288,22.0,2200.0,163.63636363636363,2.3,44.99999999999999,2.85,0.33,30.0,0.43222224936486214
