Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour
117,200,1.0,0.5,1.5,10.0,0.06535822977619474,6.535822977619474,22.0,2200.0,163.63636363636363
118,200,1.0,1.0,0.5,2.5,0.052909043152157643,5.290904315215764,6.5,650.0,553.8461538461538
119,200,1.0,1.0,0.5,5.0,0.06224593312018546,6.224593312018547,11.5,1150.0,313.04347826086956
120,200,1.0,1.0,0.5,10.0,0.06224593312018546,6.224593312018547,21.5,2150.0,167.4418604651163
121,200,1.0,1.0,1.0,2.5,0.085,8.5,7.0,700.0,514.2857142857143
122,200,1.0,1.0,1.0,5.0,0.1,10.0,12.0,1200.0,300.0
123,200,1.0,1.0,1.0,10.0,0.1,10.0,22.0,2200.0,163.63636363636363
124,200,1.0,1.0,1.5,2.5,0.08925000000000001,8.925,7.5,750.0,480.0
125,200,1.0,1.0,1.5,5.0,0.10500000000000001,10.500000000000002,12.5,1250.0,288.0
126,200,1.0,1.0,1.5,10.0,0.10500000000000001,10.500000000000002,22.5,2250.0,160.0
127,200,1.0,1.5,0.5,2.5,0.05555449530976553,5.555449530976553,7.0,700.0,514.2857142857143
128,200,1.0,1.5,0.5,5.0,0.06535822977619474,6.535822977619474,12.0,1200.0,300.0
129,200,1.0,1.5,0.5,10.0,0.06535822977619474,6.535822977619474,22.0,2200.0,163.63636363636363
130,200,1.0,1.5,1.0,2.5,0.08925000000000001,8.925,7.5,750.0,480.0
131,200,1.0,1.5,1.0,5.0,0.10500000000000001,10.500000000000002,12.5,1250.0,288.0
132,200,1.0,1.5,1.0,10.0,0.10500000000000001,10.500000000000002,22.5,2250.0,160.0
133,200,1.0,1.5,1.5,2.5,0.0937125,9.37125,8.0,800.0,450.0
134,200,1.0,1.5,1.5,5.0,0.11025000000000001,11.025000000000002,13.0,1300.0,276.9230769230769
135,200,1.0,1.5,1.5,10.0,0.11025000000000001,11.025000000000002,23.0,2300.0,156.52173913043478
136,200,1.4,0.5,0.5,2.5,0.028567653061336958,2.856765306133696,6.0,600.0,600.0
137,200,1.4,0.5,0.5,5.0,0.033609003601572894,3.3609003601572893,11.0,1100.0,327.27272727272725
138,200,1.4,0.5,0.5,10.0,0.033609003601572894,3.3609003601572893,21.0,2100.0,171.42857142857142
139,200,1.4,0.5,1.0,2.5,0.0458948105190713,4.58948105190713,6.5,650.0,553.8461538461538
140,200,1.4,0.5,1.0,5.0,0.053993894728319176,5.399389472831918,11.5,1150.0,313.04347826086956
141,200,1.4,0.5,1.0,10.0,0.053993894728319176,5.399389472831918,21.5,2150.0,167.4418604651163
142,200,1.4,0.5,1.5,2.5,0.04818955104502486,4.8189551045024865,7.0,700.0,514.2857142857143
143,200,1.4,0.5,1.5,5.0,0.056693589464735135,5.669358946473514,12.0,1200.0,300.0
144,200,1.4,0.5,1.5,10.0,0.056693589464735135,5.669358946473514,22.0,2200.0,163.63636363636363
145,200,1.4,1.0,0.5,2.5,0.0458948105190713,4.58948105190713,6.5,650.0,553.8461538461538
146,200,1.4,1.0,0.5,5.0,0.053993894728319176,5.399389472831918,11.5,1150.0,313.04347826086956
147,200,1.4,1.0,0.5,10.0,0.053993894728319176,5.399389472831918,21.5,2150.0,167.4418604651163
148,200,1.4,1.0,1.0,2.5,0.07373142022058993,7.3731420220589925,7.0,700.0,514.2857142857143
149,200,1.4,1.0,1.0,5.0,0.08674284731834109,8.674284731834108,12.0,1200.0,300.0
150,200,1.4,1.0,1.0,10.0,0.08674284731834109,8.674284731834108,22.0,2200.0,163.63636363636363
151,200,1.4,1.0,1.5,2.5,0.07741799123161942,7.741799123161942,7.5,750.0,480.0
152,200,1.4,1.0,1.5,5.0,0.09107998968425815,9.107998968425814,12.5,1250.0,288.0
153,200,1.4,1.0,1.5,10.0,0.09107998968425815,9.107998968425814,22.5,2250.0,160.0
154,200,1.4,1.5,0.5,2.5,0.04818955104502487,4.818955104502487,7.0,700.0,514.2857142857143
155,200,1.4,1.5,0.5,5.0,0.05669358946473514,5.669358946473515,12.0,1200.0,300.0
156,200,1.4,1.5,0.5,10.0,0.05669358946473514,5.669358946473515,22.0,2200.0,163.63636363636363
157,200,1.4,1.5,1.0,2.5,0.07741799123161942,7.741799123161942,7.5,750.0,480.0
158,200,1.4,1.5,1.0,5.0,0.09107998968425815,9.107998968425814,12.5,1250.0,288.0
159,200,1.4,1.5,1.0,10.0,0.09107998968425815,9.107998968425814,22.5,2250.0,160.0
160,200,1.4,1.5,1.5,2.5,0.0812888907932004,8.12888907932004,8.0,800.0,450.0
161,200,1.4,1.5,1.5,5.0,0.09563398916847106,9.563398916847106,13.0,1300.0,276.9230769230769
162,200,1.4,1.5,1.5,10.0,0.09563398916847106,9.563398916847106,23.0,2300.0,156.52173913043478
163,240,0.6,0.5,0.5,2.5,0.03237667346951523,3.2376673469515227,6.0,600.0,600.0
164,240,0.6,0.5,0.5,5.0,0.03809020408178262,3.8090204081782617,11.0,1100.0,327.27272727272725
165,240,0.6,0.5,0.5,10.0,0.03809020408178262,3.8090204081782617,21.0,2100.0,171.42857142857142
166,240,0.6,0.5,1.0,2.5,0.05201411858828081,5.201411858828081,6.5,650.0,553.8461538461538
167,240,0.6,0.5,1.0,5.0,0.06119308069209507,6.119308069209508,11.5,1150.0,313.04347826086956
168,240,0.6,0.5,1.0,10.0,0.06119308069209507,6.119308069209508,21.5,2150.0,167.4418604651163
169,240,0.6,0.5,1.5,2.5,0.05461482451769485,5.461482451769485,7.0,700.0,514.2857142857143
170,240,0.6,0.5,1.5,5.0,0.06425273472669983,6.425273472669983,12.0,1200.0,300.0
171,240,0.6,0.5,1.5,10.0,0.06425273472669983,6.425273472669983,22.0,2200.0,163.63636363636363
172,240,0.6,1.0,0.5,2.5,0.05201411858828081,5.201411858828081,6.5,650.0,553.8461538461538
173,240,0.6,1.0,0.5,5.0,0.06119308069209507,6.119308069209508,11.5,1150.0,313.04347826086956
174,240,0.6,1.0,0.5,10.0,0.06119308069209507,6.119308069209508,21.5,2150.0,167.4418604651163
175,240,0.6,1.0,1.0,2.5,0.08356227625000191,8.35622762500019,7.0,700.0,514.2857142857143
176,240,0.6,1.0,1.0,5.0,0.0983085602941199,9.83085602941199,12.0,1200.0,300.0
177,240,0.6,1.0,1.0,10.0,0.0983085602941199,9.83085602941199,22.0,2200.0,163.63636363636363
178,240,0.6,1.0,1.5,2.5,0.087740390062502,8.7740390062502,7.5,750.0,480.0
179,240,0.6,1.0,1.5,5.0,0.1032239883088259,10.32239883088259,12.5,1250.0,288.0
180,240,0.6,1.0,1.5,10.0,0.1032239883088259,10.32239883088259,22.5,2250.0,160.0
181,240,0.6,1.5,0.5,2.5,0.05461482451769485,5.461482451769485,7.0,700.0,514.2857142857143
182,240,0.6,1.5,0.5,5.0,0.06425273472669983,6.425273472669983,12.0,1200.0,300.0
183,240,0.6,1.5,0.5,10.0,0.06425273472669983,6.425273472669983,22.0,2200.0,163.63636363636363
184,240,0.6,1.5,1.0,2.5,0.087740390062502,8.7740390062502,7.5,750.0,480.0
185,240,0.6,1.5,1.0,5.0,0.1032239883088259,10.32239883088259,12.5,1250.0,288.0
186,240,0.6,1.5,1.0,10.0,0.1032239883088259,10.32239883088259,22.5,2250.0,160.0
187,240,0.6,1.5,1.5,2.5,0.09212740956562711,9.21274095656271,8.0,800.0,450.0
188,240,0.6,1.5,1.5,5.0,0.1083851877242672,10.83851877242672,13.0,1300.0,276.9230769230769
189,240,0.6,1.5,1.5,10.0,0.1083851877242672,10.83851877242672,23.0,2300.0,156.52173913043478
190,240,1.0,0.5,0.5,2.5,0.037324891297025056,3.732489129702506,6.0,600.0,600.0
191,240,1.0,0.5,0.5,5.0,0.04391163682002948,4.391163682002948,11.0,1100.0,327.27272727272725
192,240,1.0,0.5,0.5,10.0,0.04391163682002948,4.391163682002948,21.0,2100.0,171.42857142857142
193,240,1.0,0.5,1.0,2.5,0.05996358223911199,5.996358223911199,6.5,650.0,553.8461538461538
194,240,1.0,0.5,1.0,5.0,0.07054539086954352,7.054539086954352,11.5,1150.0,313.04347826086956
195,240,1.0,0.5,1.0,10.0,0.07054539086954352,7.054539086954352,21.5,2150.0,167.4418604651163
196,240,1.0,0.5,1.5,2.5,0.0629617613510676,6.2961761351067596,7.0,700.0,514.2857142857143
197,240,1.0,0.5,1.5,5.0,0.0740726604130207,7.40726604130207,12.0,1200.0,300.0
198,240,1.0,0.5,1.5,10.0,0.0740726604130207,7.40726604130207,22.0,2200.0,163.63636363636363
199,240,1.0,1.0,0.5,2.5,0.05996358223911199,5.996358223911199,6.5,650.0,553.8461538461538
200,240,1.0,1.0,0.5,5.0,0.07054539086954352,7.054539086954352,11.5,1150.0,313.04347826086956
201,240,1.0,1.0,0.5,10.0,0.07054539086954352,7.054539086954352,21.5,2150.0,167.4418604651163
202,240,1.0,1.0,1.0,2.5,0.09633333333333334,9.633333333333335,7.0,700.0,514.2857142857143
203,240,1.0,1.0,1.0,5.0,0.11333333333333334,11.333333333333334,12.0,1200.0,300.0
204,240,1.0,1.0,1.0,10.0,0.11333333333333334,11.333333333333334,22.0,2200.0,163.63636363636363
205,240,1.0,1.0,1.5,2.5,0.10115,10.115,7.5,750.0,480.0
206,240,1.0,1.0,1.5,5.0,0.11900000000000001,11.9,12.5,1250.0,288.0
207,240,1.0,1.0,1.5,10.0,0.11900000000000001,11.9,22.5,2250.0,160.0
208,240,1.0,1.5,0.5,2.5,0.0629617613510676,6.2961761351067596,7.0,700.0,514.2857142857143
209,240,1.0,1.5,0.5,5.0,0.0740726604130207,7.40726604130207,12.0,1200.0,300.0
210,240,1.0,1.5,0.5,10.0,0.0740726604130207,7.40726604130207,22.0,2200.0,163.63636363636363
211,240,1.0,1.5,1.0,2.5,0.10115,10.115,7.5,750.0,480.0
212,240,1.0,1.5,1.0,5.0,0.11900000000000001,11.9,12.5,1250.0,288.0
213,240,1.0,1.5,1.0,10.0,0.11900000000000001,11.9,22.5,2250.0,160.0
214,240,1.0,1.5,1.5,2.5,0.10620750000000001,10.620750000000001,8.0,800.0,450.0
215,240,1.0,1.5,1.5,5.0,0.12495000000000002,12.495000000000003,13.0,1300.0,276.9230769230769
216,240,1.0,1.5,1.5,10.0,0.12495000000000002,12.495000000000003,23.0,2300.0,156.52173913043478
217,240,1.4,0.5,0.5,2.5,0.03237667346951523,3.2376673469515227,6.0,600.0,600.0
218,240,1.4,0.5,0.5,5.0,0.038090204081782625,3.8090204081782626,11.0,1100.0,327.27272727272725
219,240,1.4,0.5,0.5,10.0,0.038090204081782625,3.8090204081782626,21.0,2100.0,171.42857142857142
