Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score,Thickness_Error_%,Thickness_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Throughput_OK,Process_Qualified,Score_Thickness,Score_Uniformity,Score_Stress,Score_Density,Score_Roughness,Score_Defectivity,Score_Throughput,Optimization_Score
21,160,0.6,1.5,0.5,10.0,0.0453548715717881,4.535487157178811,22.0,2200.0,163.63636363636363,2.6,5.0,2.825,0.36,36.0,0.4041723666210671,54.64512842821188,False,False,True,False,False,False,True,False,0.2916649578308824,0.33333333333333315,0.9767441860465116,0.0,0.3333333333333334,0.39215686274509803,0.01604278074866308,0.3114106224117478
22,160,0.6,1.5,1.0,2.5,0.0619343929852955,6.193439298529554,7.5,750.0,480.0,3.25,12.5,2.8375,0.425,53.0,0.2326295925346879,38.06560701470446,False,False,True,False,False,False,True,False,0.5065762653412792,0.06249999999999979,0.9069767441860465,0.07142857142856998,0.06250000000000006,0.058823529411764705,0.7294117647058824,0.3256295558799746
23,160,0.6,1.5,1.0,5.0,0.0728639917474065,7.286399174740652,12.5,1250.0,288.0,2.45,12.5,2.8375,0.345,33.0,0.4414531219464527,27.136008252593484,False,False,True,False,False,False,True,False,0.6482507022532897,0.39583333333333315,0.9069767441860465,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.2964705882352941,0.45696973373542826
24,160,0.6,1.5,1.0,10.0,0.0728639917474065,7.286399174740652,22.5,2250.0,160.0,2.45,12.5,2.8375,0.345,33.0,0.4414531219464527,27.136008252593484,False,False,True,False,False,False,True,False,0.6482507022532897,0.39583333333333315,0.9069767441860465,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.007843137254901962,0.42810698863738905
25,160,0.6,1.5,1.5,2.5,0.0650311126345603,6.503111263456033,8.0,800.0,450.0,3.3999999999999995,20.0,2.825,0.44,56.0,0.1674418604651163,34.96888736543967,False,False,True,False,False,False,True,False,0.5467173557996823,0.0,0.8372093023255814,0.0,0.0,0.0,0.6617647058823529,0.286576739770714
26,160,0.6,1.5,1.5,5.0,0.0765071913347768,7.650719133477684,13.0,1300.0,276.9230769230769,2.6,20.0,2.825,0.36,36.0,0.3762653898768811,23.492808665223166,False,False,True,False,False,False,True,False,0.6954755145572931,0.33333333333333315,0.8372093023255814,0.0,0.3333333333333334,0.39215686274509803,0.2714932126696832,0.4239548164133595
27,160,0.6,1.5,1.5,10.0,0.0765071913347768,7.650719133477684,23.0,2300.0,156.52173913043478,2.6,20.0,2.825,0.36,36.0,0.3762653898768811,23.492808665223166,False,False,True,False,False,False,True,False,0.6954755145572931,0.33333333333333315,0.8372093023255814,0.0,0.3333333333333334,0.39215686274509803,0.0,0.3968054951463912
28,160,1.0,0.5,0.5,2.5,0.0263469820920176,2.634698209201769,6.0,600.0,600.0,2.9000000000000004,10.0,2.875,0.39,46.0,0.3663511334766462,73.6530179079823,False,False,True,False,False,False,True,False,0.045276037473839015,0.208333333333333,0.9302325581395349,0.285714285714285,0.2083333333333333,0.19607843137254902,1.0,0.3293072511768108
29,160,1.0,0.5,0.5,5.0,0.0309964495200208,3.099644952002081,11.0,1100.0,327.27272727272725,2.1,10.0,2.875,0.31,26.0,0.575174662888411,69.0035504799792,False,False,True,False,False,False,True,False,0.10554455182100697,0.5416666666666665,0.9302325581395349,0.285714285714285,0.5416666666666667,0.5882352941176471,0.38502673796791437,0.42209273983490414
30,160,1.0,0.5,0.5,10.0,0.0309964495200208,3.099644952002081,21.0,2100.0,171.42857142857142,2.1,10.0,2.875,0.31,26.0,0.575174662888411,69.0035504799792,False,False,True,False,False,False,True,False,0.10554455182100697,0.5416666666666665,0.9302325581395349,0.285714285714285,0.5416666666666667,0.5882352941176471,0.03361344537815123,0.3869514105759278
31,160,1.0,0.5,1.0,2.5,0.0423272345217261,4.232723452172611,6.5,650.0,553.8461538461538,2.75,17.5,2.8875,0.375,43.0,0.4036318888020319,57.67276547827389,False,False,True,False,False,False,True,False,0.2524193474862052,0.27083333333333315,0.8604651162790697,0.3571428571428575,0.27083333333333337,0.2549019607843137,0.8959276018099547,0.39905573333031374
32,160,1.0,0.5,1.0,5.0,0.0497967464961483,4.979674649614837,11.5,1150.0,313.0434782608696,1.95,17.5,2.8875,0.295,23.0,0.6124554182137967,50.20325350385163,False,True,True,False,True,False,True,False,0.3492425636002614,0.6041666666666666,0.8604651162790697,0.3571428571428575,0.6041666666666667,0.6470588235294118,0.3529411764705883,0.508178581099401
33,160,1.0,0.5,1.0,10.0,0.0497967464961483,4.979674649614837,21.5,2150.0,167.4418604651163,1.95,17.5,2.8875,0.295,23.0,0.6124554182137967,50.20325350385163,False,True,True,False,True,False,True,False,0.3492425636002614,0.6041666666666666,0.8604651162790697,0.3571428571428575,0.6041666666666667,0.6470588235294118,0.024623803009575954,0.4753468437532997
34,160,1.0,0.5,1.5,2.5,0.0444435962478124,4.444359624781242,7.0,700.0,514.2857142857143,2.9000000000000004,25.0,2.875,0.39,46.0,0.3384441567324602,55.55640375218758,False,False,True,False,False,False,True,False,0.27985259205185453,0.208333333333333,0.7906976744186046,0.285714285714285,0.2083333333333333,0.19607843137254902,0.8067226890756304,0.3546701703567847
35,160,1.0,0.5,1.5,5.0,0.0522865838209557,5.2286583820955785,12.0,1200.0,300.0,2.1,25.0,2.875,0.31,26.0,0.5472676861442249,47.713416179044216,False,False,True,False,False,False,True,False,0.38151696897161347,0.5416666666666665,0.7906976744186046,0.285714285714285,0.5416666666666667,0.5882352941176471,0.32352941176470584,0.47098262313014183
